courseCode,teacherID,hours
I-25,19901026-0369,111.0
I-26,19681228-0077,260.0
I-26,19790106-0160,97.0
I-26,19910430-0390,81.0
I-26,19900521-0332,100.0
I-26,19911223-0291,83.0
I-27,19601109-0066,240.0
I-27,19770222-0184,112.0
I-27,19901114-0331,143.0
I-27,19920618-0375,91.0
I-27,19910213-0264,82.0
I-28,19641017-0004,235.0
I-28,19750811-0207,103.0
I-28,19930926-0386,116.0
I-28,19931212-0293,137.0
I-28,19910909-0340,101.0
I-29,19550609-0065,246.0
I-29,19750630-0161,143.0
I-29,19921130-0317,107.0
I-30,19631213-0144,242.0
I-30,19770502-0170,152.0
I-30,19921231-0282,114.0
I-31,19681130-0059,221.0
I-31,19780725-0206,126.0
I-31,19900508-0265,86.0
I-32,19670320-0110,268.0
I-32,19771104-0213,132.0
I-32,19930926-0386,124.0
I-32,19901126-0278,120.0
I-33,19640301-0074,244.0
I-33,19750309-0236,113.0
I-33,19900506-0329,115.0
I-34,19660326-0138,273.0
I-34,19750630-0161,125.0
I-34,19920715-0337,91.0
I-34,19920427-0252,121.0
I-35,19630224-0041,297.0
I-35,19791225-0178,108.0
I-35,19930517-0365,118.0
I-35,19930811-0347,114.0
I-35,19900228-0341,117.0
I-36,19550419-0012,275.0
I-36,19760106-0153,144.0
I-36,19931028-0303,116.0
I-36,19910227-0301,124.0
I-37,19640114-0132,255.0
I-37,19760106-0153,119.0
I-37,19900830-0305,118.0
I-37,19930808-0285,128.0
I-37,19900309-0255,99.0
I-38,19660422-0098,270.0
I-38,19750425-0232,94.0
I-38,19910609-0354,114.0
I-39,19680216-0088,241.0
I-39,19760411-0165,129.0
I-39,19920127-0376,119.0
I-39,19920527-0260,90.0
I-40,19601109-0066,237.0
I-40,19750425-0232,115.0
I-40,19910620-0336,123.0
I-40,19930409-0321,145.0
I-40,19910505-0351,120.0
I-41,19591120-0053,297.0
I-41,19781125-0171,135.0
I-41,19900521-0332,83.0
I-42,19650814-0115,251.0
I-42,19750322-0237,125.0
I-42,19911222-0246,118.0
I-42,19920218-0266,144.0
I-42,19920618-0375,107.0
I-43,19660422-0098,261.0
I-43,19761124-0173,131.0
I-43,19910505-0351,155.0
I-43,19910505-0351,135.0
I-43,19931108-0310,135.0
I-44,19590109-0003,224.0
I-44,19790903-0229,117.0
I-44,19921130-0317,134.0
I-45,19560807-0056,266.0
I-45,19750425-0232,135.0
I-45,19920316-0381,98.0
I-45,19910227-0301,105.0
I-45,19901221-0339,123.0
I-46,19570730-0081,282.0
I-46,19791225-0178,132.0
I-46,19910819-0292,116.0
I-46,19911008-0241,92.0
I-47,19631024-0087,281.0
I-47,19770502-0170,160.0
I-47,19900521-0298,116.0
I-47,19901221-0339,134.0
I-48,19610502-0010,261.0
I-48,19790106-0160,112.0
I-48,19920218-0266,153.0
I-48,19920430-0253,115.0
I-48,19920309-0349,137.0
I-49,19680210-0129,264.0
I-49,19761126-0183,114.0
I-49,19910519-0362,92.0
I-49,19920127-0376,120.0
I-49,19920127-0376,131.0
I-50,19550512-0123,283.0
I-50,19750813-0225,89.0
I-50,19910505-0351,143.0
I-51,19550828-0055,271.0
I-51,19791225-0178,146.0
I-51,19930409-0309,140.0
I-52,19640919-0143,261.0
I-52,19770913-0179,122.0
I-52,19910303-0245,93.0
I-52,19920309-0349,152.0
I-53,19550419-0012,262.0
I-53,19750309-0236,114.0
I-53,19930409-0309,108.0
I-54,19560123-0039,231.0
I-54,19771213-0157,130.0
I-54,19910803-0281,156.0
I-54,19911021-0244,92.0
I-54,19930218-0271,146.0
I-55,19680313-0150,260.0
I-55,19790510-0202,147.0
I-55,19931222-0324,148.0
I-55,19930528-0342,140.0
I-55,19921020-0378,104.0
I-56,19580526-0034,235.0
I-56,19780829-0224,125.0
I-56,19911222-0246,142.0
I-56,19931216-0360,126.0
I-56,19910430-0390,96.0
I-57,19560807-0056,284.0
I-57,19790714-0158,135.0
I-57,19911016-0297,145.0
I-58,19560823-0146,277.0
I-58,19790106-0160,117.0
I-58,19910113-0338,100.0
I-58,19930727-0258,115.0
I-59,19600422-0103,228.0
I-59,19750322-0237,134.0
I-59,19921225-0352,104.0
I-59,19920421-0387,145.0
I-60,19630523-0038,224.0
I-60,19771213-0157,132.0
I-60,19930811-0347,145.0
I-60,19930130-0359,160.0
I-61,19650109-0128,292.0
I-61,19760424-0220,159.0
I-61,19900705-0286,134.0
I-61,19930509-0345,129.0
I-61,19931020-0257,156.0
I-62,19550305-0094,234.0
I-62,19750319-0156,122.0
I-62,19921013-0274,127.0
I-62,19920408-0343,120.0
I-63,19660308-0145,250.0
I-63,19781121-0159,87.0
I-63,19920723-0242,138.0
I-64,19600415-0028,257.0
I-64,19750220-0169,120.0
I-64,19911021-0244,135.0
I-65,19550419-0012,300.0
I-65,19750630-0161,112.0
I-65,19920715-0337,124.0
I-66,19650814-0090,268.0
I-66,19790526-0219,120.0
I-66,19900521-0298,149.0
I-67,19570408-0107,270.0
I-67,19790714-0158,138.0
I-67,19900223-0251,125.0
I-68,19691216-0147,242.0
I-68,19750702-0234,131.0
I-68,19910213-0264,101.0
I-69,19690906-0102,288.0
I-69,19790318-0172,128.0
I-69,19920727-0356,120.0
I-69,19910730-0248,143.0
I-70,19560123-0039,261.0
I-70,19790526-0219,130.0
I-70,19910430-0390,136.0
I-70,19930501-0333,96.0
I-70,19931209-0335,138.0
I-71,19570327-0091,228.0
I-71,19761215-0239,118.0
I-71,19920715-0325,116.0
I-71,19930820-0313,151.0
I-71,19900830-0305,147.0
I-72,19560228-0121,275.0
I-72,19750701-0238,81.0
I-72,19931108-0310,127.0
I-72,19930329-0367,137.0
I-73,19671219-0097,280.0
I-73,19790618-0163,102.0
I-73,19911030-0363,100.0
I-74,19561223-0046,247.0
I-74,19790318-0172,90.0
I-74,19901226-0294,103.0
I-74,19930329-0367,118.0
I-74,19921121-0307,121.0
I-75,19580526-0034,267.0
I-75,19750730-0223,92.0
I-75,19911106-0344,80.0
I-75,19931209-0335,91.0
I-76,19680624-0027,222.0
I-76,19751128-0211,138.0
I-76,19910413-0350,91.0
I-76,19910408-0250,106.0
I-76,19911030-0363,136.0
I-77,19650421-0108,254.0
I-77,19761107-0217,120.0
I-77,19911030-0363,104.0
I-77,19910412-0243,115.0
I-77,19930406-0371,122.0
I-78,19640407-0101,266.0
I-78,19791210-0189,124.0
I-78,19911021-0244,115.0
I-78,19920727-0356,120.0
I-78,19911026-0348,96.0
I-79,19641017-0004,240.0
I-79,19780103-0216,93.0
I-79,19931209-0335,117.0
I-80,19631213-0144,259.0
I-80,19760210-0205,155.0
I-80,19920427-0252,106.0
I-80,19930406-0371,107.0
I-80,19920316-0381,107.0
I-81,19671119-0137,237.0
I-81,19760404-0180,139.0
I-81,19900506-0329,90.0
I-82,19681130-0059,279.0
I-82,19760902-0214,93.0
I-82,19911026-0348,135.0
I-82,19921024-0306,108.0
I-82,19931222-0324,114.0
I-83,19580607-0011,287.0
I-83,19770619-0167,150.0
I-83,19901026-0369,119.0
I-83,19900223-0251,104.0
I-84,19580816-0057,228.0
I-84,19750319-0156,121.0
I-84,19920902-0296,110.0
I-85,19630705-0111,294.0
I-85,19770905-0199,111.0
I-85,19920921-0268,103.0
I-85,19900830-0305,115.0
I-86,19600315-0045,299.0
I-86,19790129-0233,111.0
I-86,19900705-0286,94.0
I-86,19911016-0297,89.0
I-87,19680813-0126,265.0
I-87,19790318-0172,82.0
I-87,19920310-0256,144.0
I-88,19680624-0027,300.0
I-88,19780210-0154,144.0
I-88,19901109-0288,111.0
I-89,19590905-0037,260.0
I-89,19780326-0162,109.0
I-89,19930607-0308,93.0
I-89,19930329-0367,97.0
I-90,19591120-0053,265.0
I-90,19781125-0171,107.0
I-90,19910213-0264,94.0
I-90,19920430-0253,110.0
I-91,19591012-0095,268.0
I-91,19771213-0157,160.0
I-91,19910702-0389,131.0
I-91,19910519-0362,111.0
I-91,19910505-0351,114.0
I-92,19561109-0064,257.0
I-92,19750615-0231,130.0
I-92,19921020-0378,82.0
I-92,19931108-0310,114.0
I-93,19590728-0025,257.0
I-93,19761107-0217,130.0
I-93,19920101-0355,144.0
I-93,19901109-0288,142.0
I-94,19651010-0130,244.0
I-94,19790711-0182,121.0
I-94,19910303-0245,139.0
I-94,19911026-0348,116.0
I-94,19931011-0322,129.0
I-95,19680307-0062,248.0
I-95,19790903-0229,95.0
I-95,19910213-0264,119.0
I-96,19580621-0026,245.0
I-96,19770721-0174,102.0
I-96,19920815-0382,115.0
I-97,19660217-0133,265.0
I-97,19790227-0208,111.0
I-97,19930820-0313,93.0
I-97,19920724-0267,137.0
I-97,19911026-0348,112.0
I-98,19600924-0083,257.0
I-98,19760902-0214,127.0
I-98,19901025-0328,87.0
I-98,19921114-0377,103.0
I-98,19900508-0265,122.0
I-99,19601225-0079,237.0
I-99,19750702-0234,134.0
I-99,19930421-0304,120.0
I-100,19581118-0029,235.0
I-100,19750518-0196,89.0
I-100,19931209-0335,120.0
I-100,19921024-0306,135.0
I-101,19681130-0059,299.0
I-101,19780210-0154,137.0
I-101,19931222-0324,113.0
I-102,19631024-0087,292.0
I-102,19770421-0176,128.0
I-102,19910113-0338,140.0
I-103,19561112-0009,257.0
I-103,19760424-0220,137.0
I-103,19921121-0307,106.0
I-103,19900803-0270,92.0
I-104,19680313-0150,267.0
I-104,19770212-0168,127.0
I-104,19930130-0359,144.0
I-104,19931205-0373,160.0
I-104,19931209-0335,101.0
I-105,19580816-0057,277.0
I-105,19750702-0234,150.0
I-105,19910111-0323,109.0
I-106,19630426-0135,267.0
I-106,19760323-0201,115.0
I-106,19910721-0295,119.0
I-107,19600415-0028,267.0
I-107,19780725-0206,133.0
I-107,19930904-0283,133.0
I-107,19920403-0319,120.0
I-107,19931124-0353,94.0
I-108,19640301-0074,271.0
I-108,19750426-0230,80.0
I-108,19921013-0372,123.0
I-109,19620411-0069,221.0
I-109,19770310-0188,137.0
I-109,19920815-0382,113.0
I-109,19930124-0273,109.0
I-110,19630523-0038,267.0
I-110,19750730-0223,159.0
I-110,19920902-0296,101.0
I-110,19910519-0362,140.0
I-111,19580922-0131,278.0
I-111,19760210-0205,110.0
I-111,19930421-0304,128.0
I-111,19901109-0288,117.0
I-112,19640301-0074,275.0
I-112,19760404-0180,133.0
I-112,19910721-0295,140.0
I-112,19900924-0280,137.0
I-112,19911223-0300,86.0
I-113,19570412-0099,246.0
I-113,19780713-0192,107.0
I-113,19900223-0251,113.0
I-113,19931205-0373,118.0
I-114,19640910-0136,229.0
I-114,19751128-0211,155.0
I-114,19930505-0314,128.0
I-114,19930509-0345,131.0
I-114,19901026-0369,92.0
I-115,19580318-0148,267.0
I-115,19770310-0188,81.0
I-115,19921013-0372,107.0
I-116,19660422-0098,264.0
I-116,19770905-0199,83.0
I-116,19910113-0338,124.0
I-116,19910609-0354,131.0
I-116,19921230-0327,82.0
I-117,19660326-0138,235.0
I-117,19751014-0191,103.0
I-117,19930501-0333,107.0
I-117,19930719-0259,113.0
I-117,19920902-0296,130.0
I-118,19570315-0106,291.0
I-118,19750130-0240,104.0
I-118,19930131-0334,145.0
I-119,19680307-0062,240.0
I-119,19790129-0233,123.0
I-119,19920803-0357,151.0
I-119,19900705-0286,130.0
I-119,19930501-0333,122.0
I-120,19690729-0051,285.0
I-120,19770212-0168,136.0
I-120,19900830-0305,133.0
I-121,19561112-0009,260.0
I-121,19770913-0179,155.0
I-121,19931020-0257,107.0
I-121,19900515-0374,129.0
I-122,19591024-0134,278.0
I-122,19771011-0195,116.0
I-122,19901114-0331,106.0
I-122,19920921-0268,101.0
I-122,19930906-0361,142.0
I-123,19681204-0018,222.0
I-123,19780210-0175,134.0
I-123,19911016-0297,158.0
I-123,19900506-0329,150.0
I-123,19910608-0275,136.0
I-124,19680216-0088,239.0
I-124,19790813-0198,117.0
I-124,19910412-0243,159.0
I-124,19910207-0290,144.0
I-124,19930607-0308,112.0
I-125,19671119-0137,225.0
I-125,19790711-0182,143.0
I-125,19931209-0335,116.0
I-126,19630212-0096,274.0
I-126,19750322-0237,140.0
I-126,19931124-0353,119.0
I-126,19920727-0356,140.0
I-126,19930410-0279,136.0
I-127,19650421-0108,275.0
I-127,19770421-0177,94.0
I-127,19930904-0283,127.0
I-127,19920715-0325,160.0
I-127,19910819-0292,150.0
I-128,19630509-0113,242.0
I-128,19790227-0181,140.0
I-128,19910413-0350,106.0
I-128,19900309-0255,120.0
I-129,19580922-0131,294.0
I-129,19790227-0218,148.0
I-129,19910512-0312,136.0
I-129,19901126-0278,96.0
I-130,19620411-0069,298.0
I-130,19781230-0194,152.0
I-130,19901226-0294,123.0
I-130,19900223-0251,107.0
I-130,19920921-0311,102.0
I-131,19670320-0110,276.0
I-131,19770519-0215,100.0
I-131,19920309-0349,114.0
I-131,19910123-0385,131.0
I-132,19661101-0142,263.0
I-132,19750130-0240,107.0
I-132,19920531-0346,116.0
I-133,19681130-0059,237.0
I-133,19750322-0237,81.0
I-133,19930218-0271,88.0
I-134,19680813-0126,241.0
I-134,19770502-0170,111.0
I-134,19931011-0322,121.0
I-134,19931205-0373,107.0
I-135,19600422-0103,221.0
I-135,19750319-0156,143.0
I-135,19901126-0278,135.0
I-135,19910730-0248,134.0
I-135,19930727-0258,123.0
I-136,19600503-0067,288.0
I-136,19770619-0167,140.0
I-136,19910408-0250,107.0
I-136,19900515-0374,145.0
I-136,19931205-0373,138.0
I-137,19570727-0040,244.0
I-137,19750701-0238,131.0
I-137,19910609-0354,134.0
I-137,19911016-0297,102.0
I-138,19600503-0067,271.0
I-138,19781125-0171,108.0
I-138,19920815-0382,115.0
I-138,19900223-0251,123.0
I-139,19651129-0082,225.0
I-139,19750425-0232,125.0
I-139,19920715-0337,85.0
I-140,19660630-0141,299.0
I-140,19780215-0235,133.0
I-140,19900815-0388,86.0
I-140,19921222-0299,97.0
I-141,19560725-0061,228.0
I-141,19790227-0181,160.0
I-141,19920508-0370,144.0
I-141,19931213-0380,85.0
I-142,19680210-0129,233.0
I-142,19770421-0177,125.0
I-142,19930727-0258,148.0
I-143,19620411-0069,269.0
I-143,19780215-0235,103.0
I-143,19920803-0357,148.0
I-144,19581008-0048,220.0
I-144,19780814-0200,146.0
I-144,19921024-0306,111.0
I-144,19920309-0349,113.0
I-144,19901114-0331,120.0
I-145,19560228-0121,247.0
I-145,19760411-0165,148.0
I-145,19910608-0275,106.0
I-145,19900803-0270,155.0
I-145,19931209-0335,111.0
I-146,19561109-0064,280.0
I-146,19761124-0173,121.0
I-146,19910721-0295,120.0
I-147,19591012-0095,245.0
I-147,19791225-0178,128.0
I-147,19900228-0341,155.0
I-147,19901126-0278,124.0
I-148,19570727-0040,243.0
I-148,19750220-0169,132.0
I-148,19930401-0254,144.0
I-148,19910113-0338,127.0
I-148,19911121-0366,128.0
I-149,19670315-0036,242.0
I-149,19790714-0158,149.0
I-149,19900815-0388,152.0
I-149,19900719-0272,142.0
I-149,19920430-0253,114.0
I-150,19630219-0019,267.0
I-150,19791210-0189,122.0
I-150,19930329-0367,130.0
I-150,19930406-0371,118.0
I-151,19580922-0131,224.0
I-151,19790227-0218,123.0
I-151,19900803-0270,96.0
I-151,19900309-0255,106.0
I-152,19630426-0135,221.0
I-152,19770721-0174,118.0
I-152,19910111-0323,88.0
I-152,19930808-0285,89.0
I-152,19930517-0365,130.0
I-153,19600415-0028,226.0
I-153,19780814-0200,143.0
I-153,19921225-0352,153.0
I-153,19910123-0385,114.0
I-154,19560102-0063,295.0
I-154,19780210-0175,127.0
I-154,19901114-0331,109.0
I-154,19900506-0329,123.0
I-154,19920101-0355,133.0
I-155,19680210-0129,264.0
I-155,19790711-0182,115.0
I-155,19931216-0360,144.0
I-155,19910528-0269,157.0
I-156,19560728-0119,259.0
I-156,19780603-0204,142.0
I-156,19930618-0289,109.0
I-156,19930505-0314,115.0
I-157,19680813-0126,250.0
I-157,19790227-0218,132.0
I-157,19910412-0243,134.0
I-157,19930820-0313,118.0
I-158,19580607-0011,271.0
I-158,19750322-0237,112.0
I-158,19921230-0327,95.0
I-158,19910505-0351,158.0
I-158,19900803-0270,103.0
I-159,19680307-0062,287.0
I-159,19780725-0206,97.0
I-159,19910803-0281,134.0
I-159,19930409-0309,141.0
I-159,19920421-0387,155.0
I-160,19680307-0062,246.0
I-160,19750813-0225,122.0
I-160,19911021-0244,105.0
I-160,19900521-0332,93.0
I-160,19921013-0372,124.0
I-161,19601225-0079,298.0
I-161,19751128-0211,98.0
I-161,19900521-0332,110.0
I-161,19910103-0368,97.0
I-161,19910909-0340,106.0
I-162,19650628-0022,267.0
I-162,19761107-0217,114.0
I-162,19901025-0328,133.0
I-162,19910904-0383,104.0
I-162,19930926-0386,115.0
I-163,19631203-0052,248.0
I-163,19750615-0231,96.0
I-163,19920724-0267,102.0
I-164,19570408-0107,296.0
I-164,19750813-0225,140.0
I-164,19920531-0346,125.0
I-165,19661101-0142,249.0
I-165,19750518-0196,147.0
I-165,19901110-0249,138.0
I-165,19901109-0288,120.0
I-166,19671219-0097,277.0
I-166,19750702-0234,125.0
I-166,19921114-0377,145.0
I-167,19571206-0122,284.0
I-167,19771115-0203,120.0
I-167,19920418-0262,132.0
I-168,19560102-0063,260.0
I-168,19780725-0206,137.0
I-168,19900719-0272,125.0
I-169,19641017-0004,239.0
I-169,19750309-0236,86.0
I-169,19930727-0258,132.0
I-169,19930906-0361,136.0
I-170,19690906-0102,254.0
I-170,19770222-0184,133.0
I-170,19920101-0355,102.0
I-170,19930505-0314,148.0
I-171,19560228-0121,275.0
I-171,19750702-0234,134.0
I-171,19920909-0316,119.0
I-171,19921020-0378,129.0
I-171,19910505-0351,153.0
I-172,19640407-0101,256.0
I-172,19760424-0220,82.0
I-172,19931209-0335,117.0
I-172,19910730-0248,124.0
I-173,19670320-0110,262.0
I-173,19780713-0192,128.0
I-173,19901226-0294,112.0
I-174,19561223-0046,253.0
I-174,19750426-0230,117.0
I-174,19920815-0382,107.0
I-174,19901025-0328,138.0
I-174,19901114-0331,114.0
I-175,19600315-0045,279.0
I-175,19761126-0183,126.0
I-175,19920408-0343,107.0
I-176,19651010-0130,249.0
I-176,19761215-0239,115.0
I-176,19910904-0383,132.0
I-176,19910730-0248,130.0
I-176,19900801-0261,130.0
I-177,19600803-0124,299.0
I-177,19790510-0202,106.0
I-177,19910519-0362,127.0
I-177,19900521-0332,148.0
I-177,19900924-0280,110.0
I-178,19550609-0065,272.0
I-178,19770619-0167,103.0
I-178,19920127-0376,103.0
I-178,19931124-0353,159.0
I-178,19910412-0243,157.0
I-179,19591120-0053,231.0
I-179,19760710-0210,130.0
I-179,19931124-0353,121.0
I-179,19910819-0292,82.0
I-179,19920815-0382,153.0
I-180,19560725-0061,251.0
I-180,19790711-0182,112.0
I-180,19931011-0322,109.0
I-180,19920512-0320,128.0
I-180,19931020-0257,120.0
I-181,19671119-0137,273.0
I-181,19780210-0154,157.0
I-181,19930421-0304,136.0
I-181,19930218-0271,145.0
I-182,19610904-0043,270.0
I-182,19780103-0216,131.0
I-182,19920527-0260,113.0
I-182,19930727-0258,145.0
I-183,19610502-0010,290.0
I-183,19770310-0188,110.0
I-183,19901226-0294,139.0
I-183,19910620-0336,112.0
I-184,19600219-0015,279.0
I-184,19790618-0163,107.0
I-184,19931209-0335,83.0
I-184,19911223-0300,132.0
I-185,19600208-0140,256.0
I-185,19761215-0239,104.0
I-185,19900202-0287,126.0
I-185,19930409-0309,123.0
I-185,19930124-0273,115.0
I-186,19680807-0024,284.0
I-186,19781230-0194,89.0
I-186,19930607-0308,143.0
I-186,19910607-0284,110.0
I-187,19690322-0050,259.0
I-187,19750811-0207,142.0
I-187,19900924-0280,132.0
I-187,19910213-0264,105.0
I-188,19660217-0133,276.0
I-188,19770922-0197,119.0
I-188,19920310-0256,102.0
I-188,19931209-0335,104.0
I-189,19640910-0136,262.0
I-189,19770421-0176,95.0
I-189,19910303-0245,80.0
I-190,19691215-0071,271.0
I-190,19751107-0152,119.0
I-190,19911222-0246,139.0
I-191,19671119-0137,266.0
I-191,19790510-0202,118.0
I-191,19900228-0341,109.0
I-192,19650628-0022,246.0
I-192,19780321-0151,106.0
I-192,19900704-0379,110.0
I-192,19921013-0274,115.0
I-193,19560228-0121,240.0
I-193,19790227-0218,95.0
I-193,19910528-0269,149.0
I-194,19630717-0021,249.0
I-194,19760424-0220,121.0
I-194,19920218-0266,107.0
I-194,19931108-0310,129.0
I-195,19550512-0123,247.0
I-195,19770721-0174,149.0
I-195,19900705-0286,108.0
I-196,19590728-0025,258.0
I-196,19760106-0153,141.0
I-196,19900416-0384,140.0
I-196,19911030-0363,108.0
I-197,19650421-0108,237.0
I-197,19780321-0151,103.0
I-197,19900815-0388,156.0
I-197,19900416-0384,124.0
I-197,19930401-0254,138.0
I-198,19610623-0072,247.0
I-198,19761107-0217,160.0
I-198,19920921-0311,149.0
I-198,19900506-0329,147.0
I-199,19580816-0057,270.0
I-199,19750811-0207,134.0
I-199,19920924-0318,148.0
I-199,19900801-0261,129.0
I-200,19691215-0071,229.0
I-200,19790227-0218,126.0
I-200,19900705-0286,84.0
I-201,19640114-0132,278.0
I-201,19790711-0182,129.0
I-201,19931222-0324,114.0
I-201,19911008-0241,88.0
I-202,19581008-0048,243.0
I-202,19790318-0172,118.0
I-202,19920310-0256,138.0
I-202,19931124-0353,141.0
I-203,19610301-0035,291.0
I-203,19771213-0157,94.0
I-203,19930421-0304,132.0
I-204,19670827-0016,270.0
I-204,19760106-0153,126.0
I-204,19901025-0328,124.0
I-204,19911223-0291,119.0
I-204,19910609-0354,146.0
I-205,19601109-0066,254.0
I-205,19750220-0169,131.0
I-205,19920727-0356,133.0
I-206,19640910-0136,257.0
I-206,19780210-0175,123.0
I-206,19911222-0246,85.0
I-207,19640308-0078,263.0
I-207,19790714-0158,97.0
I-207,19910207-0290,105.0
I-208,19560407-0068,246.0
I-208,19760424-0220,105.0
I-208,19920427-0252,130.0
I-209,19591012-0095,295.0
I-209,19750426-0230,111.0
I-209,19910408-0250,105.0
I-210,19550928-0032,265.0
I-210,19770703-0166,146.0
I-210,19901221-0339,120.0
I-210,19910730-0248,105.0
I-211,19630523-0038,246.0
I-211,19780823-0221,114.0
I-211,19930130-0359,158.0
I-211,19930329-0367,148.0
I-212,19551224-0080,264.0
I-212,19790227-0218,89.0
I-212,19920428-0326,85.0
I-212,19930509-0345,128.0
I-212,19910227-0301,133.0
I-213,19670622-0114,267.0
I-213,19771213-0157,106.0
I-213,19910609-0354,119.0
I-213,19920310-0256,95.0
I-213,19930401-0254,126.0
I-214,19690322-0050,247.0
I-214,19760323-0201,138.0
I-214,19931216-0360,119.0
I-214,19910609-0354,153.0
I-214,19930719-0259,146.0
I-215,19670320-0110,268.0
I-215,19750615-0231,138.0
I-215,19930509-0345,123.0
I-215,19930501-0333,158.0
I-216,19691215-0071,297.0
I-216,19790214-0226,160.0
I-216,19900815-0388,91.0
I-216,19900309-0255,130.0
I-217,19570315-0106,239.0
I-217,19790227-0181,114.0
I-217,19930727-0258,119.0
I-217,19930517-0365,142.0
I-217,19920428-0326,106.0
I-218,19550828-0055,251.0
I-218,19770212-0168,125.0
I-218,19901025-0328,89.0
I-218,19910505-0351,120.0
I-219,19591012-0095,252.0
I-219,19750322-0237,123.0
I-219,19901221-0339,111.0
I-219,19920815-0382,136.0
I-220,19650814-0090,225.0
I-220,19751003-0193,160.0
I-220,19920909-0316,106.0
I-220,19920403-0319,159.0
I-220,19910610-0276,122.0
I-221,19560228-0121,264.0
I-221,19780210-0175,104.0
I-221,19910219-0330,148.0
I-221,19930409-0309,135.0
I-222,19630219-0019,255.0
I-222,19750330-0155,105.0
I-222,19900202-0287,93.0
I-223,19570727-0040,230.0
I-223,19790714-0158,155.0
I-223,19910512-0312,127.0
I-223,19920430-0253,111.0
I-223,19931028-0303,108.0
I-224,19591024-0134,293.0
I-224,19791228-0227,154.0
I-224,19930820-0313,90.0
I-224,19910721-0295,110.0
I-224,19921114-0377,100.0
I-225,19631213-0144,272.0
I-225,19760101-0164,126.0
I-225,19921230-0327,116.0
I-226,19680807-0024,238.0
I-226,19791228-0227,118.0
I-226,19911121-0366,123.0
I-227,19580922-0131,260.0
I-227,19760710-0210,81.0
I-227,19930811-0347,132.0
I-227,19920921-0268,114.0
I-227,19930131-0334,111.0
I-228,19630316-0005,290.0
I-228,19781013-0186,151.0
I-228,19931216-0360,129.0
I-228,19930124-0273,120.0
I-229,19680210-0129,261.0
I-229,19750319-0156,113.0
I-229,19911026-0348,112.0
I-229,19930820-0313,99.0
I-230,19550711-0001,238.0
I-230,19780103-0216,134.0
I-230,19911121-0366,110.0
I-230,19930913-0358,116.0
I-231,19550720-0008,240.0
I-231,19780409-0209,100.0
