teacherName,teacherID,departmentName,divisionName
Teacher 74,19640301-0074,D3,D3-2
Teacher 75,19570303-0075,D7,D7-5
Teacher 76,19550826-0076,D5,D5-2
Teacher 77,19681228-0077,D5,D5-5
Teacher 78,19640308-0078,D6,D6-3
Teacher 79,19601225-0079,D6,D6-3
Teacher 80,19551224-0080,D1,D1-2
Teacher 81,19570730-0081,D7,D7-0
Teacher 82,19651129-0082,D7,D7-5
Teacher 83,19600924-0083,D7,D7-1
Teacher 84,19551006-0084,D5,D5-2
Teacher 85,19580724-0085,D1,D1-0
Teacher 86,19600808-0086,D5,D5-1
Teacher 87,19631024-0087,D4,D4-1
Teacher 88,19680216-0088,D3,D3-0
Teacher 89,19680730-0089,D6,D6-0
Teacher 90,19650814-0090,D7,D7-4
Teacher 91,19570327-0091,D7,D7-1
Teacher 92,19581017-0092,D3,D3-2
Teacher 93,19660329-0093,D8,D8-1
Teacher 94,19550305-0094,D6,D6-5
Teacher 95,19591012-0095,D8,D8-5
Teacher 96,19630212-0096,D2,D2-1
Teacher 97,19671219-0097,D4,D4-5
Teacher 98,19660422-0098,D7,D7-3
Teacher 99,19570412-0099,D7,D7-3
Teacher 100,19601207-0100,D6,D6-1
Teacher 101,19640407-0101,D2,D2-0
Teacher 102,19690906-0102,D5,D5-1
Teacher 103,19600422-0103,D7,D7-0
Teacher 104,19610213-0104,D8,D8-1
Teacher 105,19560307-0105,D1,D1-2
Teacher 106,19570315-0106,D1,D1-2
Teacher 107,19570408-0107,D4,D4-2
Teacher 108,19650421-0108,D2,D2-0
Teacher 109,19610915-0109,D2,D2-0
Teacher 110,19670320-0110,D2,D2-5
Teacher 111,19630705-0111,D2,D2-5
Teacher 112,19630402-0112,D7,D7-5
Teacher 113,19630509-0113,D1,D1-3
Teacher 114,19670622-0114,D7,D7-1
Teacher 115,19650814-0115,D6,D6-5
Teacher 116,19580320-0116,D6,D6-1
Teacher 117,19630716-0117,D1,D1-3
Teacher 118,19650225-0118,D5,D5-0
Teacher 119,19560728-0119,D5,D5-0
Teacher 120,19560607-0120,D6,D6-4
Teacher 121,19560228-0121,D5,D5-1
Teacher 122,19571206-0122,D7,D7-0
Teacher 123,19550512-0123,D7,D7-1
Teacher 124,19600803-0124,D1,D1-2
Teacher 125,19581225-0125,D3,D3-0
Teacher 126,19680813-0126,D3,D3-3
Teacher 127,19640810-0127,D4,D4-5
Teacher 128,19650109-0128,D8,D8-5
Teacher 129,19680210-0129,D8,D8-1
Teacher 130,19651010-0130,D8,D8-4
Teacher 131,19580922-0131,D4,D4-2
Teacher 132,19640114-0132,D4,D4-0
Teacher 133,19660217-0133,D5,D5-2
Teacher 134,19591024-0134,D7,D7-1
Teacher 135,19630426-0135,D3,D3-3
Teacher 136,19640910-0136,D7,D7-3
Teacher 137,19671119-0137,D8,D8-0
Teacher 138,19660326-0138,D3,D3-1
Teacher 139,19620221-0139,D8,D8-4
Teacher 140,19600208-0140,D5,D5-3
Teacher 141,19660630-0141,D8,D8-5
Teacher 142,19661101-0142,D2,D2-0
Teacher 143,19640919-0143,D4,D4-3
Teacher 144,19631213-0144,D7,D7-4
Teacher 145,19660308-0145,D5,D5-3
Teacher 146,19560823-0146,D4,D4-1
Teacher 147,19691216-0147,D5,D5-2
Teacher 148,19580318-0148,D8,D8-2
Teacher 149,19610427-0149,D6,D6-2
Teacher 150,19680313-0150,D3,D3-2
