courseCode,studyPeriod,academicYear,teacherID,hours,courseInstance
1324,3.0,2010-2011,19911106-0344,120.0,I-14
1304,4.0,2010-2011,19651129-0082,240.0,I-15
1304,4.0,2010-2011,19780103-0216,100.0,I-15
1304,4.0,2010-2011,19910123-0385,140.0,I-15
1304,4.0,2010-2011,19931108-0310,140.0,I-15
1290,2.0,2010-2011,19681204-0018,280.0,I-16
1290,2.0,2010-2011,19750702-0234,140.0,I-16
1290,2.0,2010-2011,19920316-0381,100.0,I-16
1279,4.0,2010-2011,19690322-0050,240.0,I-17
1279,4.0,2010-2011,19790214-0226,140.0,I-17
1279,4.0,2010-2011,19910227-0301,100.0,I-17
1279,4.0,2010-2011,19930218-0271,140.0,I-17
1279,4.0,2010-2011,19900309-0255,140.0,I-17
1214,4.0,2010-2011,19600503-0067,260.0,I-18
1214,4.0,2010-2011,19760323-0201,120.0,I-18
1214,4.0,2010-2011,19921024-0306,140.0,I-18
1214,4.0,2010-2011,19931209-0335,120.0,I-18
1214,4.0,2010-2011,19910412-0243,120.0,I-18
1171,1.0,2010-2011,19600208-0140,280.0,I-19
1171,1.0,2010-2011,19760910-0228,100.0,I-19
1171,1.0,2010-2011,19930509-0345,140.0,I-19
1022,4.0,2010-2011,19571206-0122,280.0,I-20
1022,4.0,2010-2011,19760106-0153,120.0,I-20
1022,4.0,2010-2011,19910519-0362,100.0,I-20
1022,4.0,2010-2011,19921225-0352,100.0,I-20
1022,4.0,2010-2011,19910123-0385,140.0,I-20
1181,4.0,2011-2012,19560307-0105,260.0,I-21
1181,4.0,2011-2012,19791228-0227,140.0,I-21
1181,4.0,2011-2012,19911021-0244,100.0,I-21
1983,3.0,2011-2012,19670315-0036,260.0,I-22
1983,3.0,2011-2012,19771213-0157,100.0,I-22
1983,3.0,2011-2012,19931108-0310,140.0,I-22
1983,3.0,2011-2012,19920715-0337,120.0,I-22
1620,3.0,2011-2012,19690906-0102,280.0,I-23
1620,3.0,2011-2012,19780823-0221,120.0,I-23
1620,3.0,2011-2012,19910909-0340,120.0,I-23
1423,1.0,2011-2012,19641017-0004,260.0,I-24
1423,1.0,2011-2012,19790227-0181,100.0,I-24
1423,1.0,2011-2012,19921024-0306,100.0,I-24
1423,1.0,2011-2012,19900223-0251,100.0,I-24
1423,1.0,2011-2012,19930808-0285,100.0,I-24
1965,4.0,2011-2012,19580607-0011,260.0,I-25
1965,4.0,2011-2012,19790227-0208,120.0,I-25
1965,4.0,2011-2012,19920715-0325,120.0,I-25
1965,4.0,2011-2012,19901026-0369,100.0,I-25
1963,3.0,2011-2012,19681228-0077,260.0,I-26
1963,3.0,2011-2012,19790106-0160,100.0,I-26
1963,3.0,2011-2012,19910430-0390,100.0,I-26
1963,3.0,2011-2012,19900521-0332,120.0,I-26
1963,3.0,2011-2012,19911223-0291,100.0,I-26
1876,4.0,2011-2012,19601109-0066,260.0,I-27
1876,4.0,2011-2012,19770222-0184,100.0,I-27
1876,4.0,2011-2012,19901114-0331,140.0,I-27
1876,4.0,2011-2012,19920618-0375,100.0,I-27
1876,4.0,2011-2012,19910213-0264,100.0,I-27
1794,1.0,2011-2012,19641017-0004,240.0,I-28
1794,1.0,2011-2012,19750811-0207,100.0,I-28
1794,1.0,2011-2012,19930926-0386,120.0,I-28
1794,1.0,2011-2012,19931212-0293,140.0,I-28
1794,1.0,2011-2012,19910909-0340,120.0,I-28
1784,3.0,2011-2012,19550609-0065,240.0,I-29
1784,3.0,2011-2012,19750630-0161,140.0,I-29
1784,3.0,2011-2012,19921130-0317,120.0,I-29
1780,2.0,2011-2012,19631213-0144,240.0,I-30
1780,2.0,2011-2012,19770502-0170,140.0,I-30
1780,2.0,2011-2012,19921231-0282,100.0,I-30
1744,2.0,2011-2012,19681130-0059,240.0,I-31
1744,2.0,2011-2012,19780725-0206,140.0,I-31
1744,2.0,2011-2012,19900508-0265,100.0,I-31
1462,1.0,2011-2012,19670320-0110,260.0,I-32
1462,1.0,2011-2012,19771104-0213,120.0,I-32
1462,1.0,2011-2012,19930926-0386,120.0,I-32
1462,1.0,2011-2012,19901126-0278,140.0,I-32
1153,1.0,2011-2012,19640301-0074,240.0,I-33
1153,1.0,2011-2012,19750309-0236,100.0,I-33
1153,1.0,2011-2012,19900506-0329,120.0,I-33
1547,1.0,2012-2013,19660326-0138,280.0,I-34
1547,1.0,2012-2013,19750630-0161,120.0,I-34
1547,1.0,2012-2013,19920715-0337,100.0,I-34
1547,1.0,2012-2013,19920427-0252,140.0,I-34
1772,2.0,2012-2013,19630224-0041,280.0,I-35
1772,2.0,2012-2013,19791225-0178,100.0,I-35
1772,2.0,2012-2013,19930517-0365,100.0,I-35
1772,2.0,2012-2013,19930811-0347,100.0,I-35
1772,2.0,2012-2013,19900228-0341,120.0,I-35
1440,1.0,2012-2013,19550419-0012,280.0,I-36
1440,1.0,2012-2013,19760106-0153,140.0,I-36
1440,1.0,2012-2013,19931028-0303,120.0,I-36
1440,1.0,2012-2013,19910227-0301,120.0,I-36
1408,1.0,2012-2013,19640114-0132,240.0,I-37
1408,1.0,2012-2013,19760106-0153,120.0,I-37
1408,1.0,2012-2013,19900830-0305,100.0,I-37
1408,1.0,2012-2013,19930808-0285,140.0,I-37
1408,1.0,2012-2013,19900309-0255,100.0,I-37
1368,1.0,2012-2013,19660422-0098,260.0,I-38
1368,1.0,2012-2013,19750425-0232,100.0,I-38
1368,1.0,2012-2013,19910609-0354,120.0,I-38
1220,1.0,2012-2013,19680216-0088,260.0,I-39
1220,1.0,2012-2013,19760411-0165,140.0,I-39
1220,1.0,2012-2013,19920127-0376,100.0,I-39
1220,1.0,2012-2013,19920527-0260,100.0,I-39
1929,3.0,2012-2013,19601109-0066,240.0,I-40
1929,3.0,2012-2013,19750425-0232,100.0,I-40
1929,3.0,2012-2013,19910620-0336,120.0,I-40
1929,3.0,2012-2013,19930409-0321,140.0,I-40
1929,3.0,2012-2013,19910505-0351,100.0,I-40
1910,4.0,2012-2013,19591120-0053,280.0,I-41
1910,4.0,2012-2013,19781125-0171,120.0,I-41
1910,4.0,2012-2013,19900521-0332,100.0,I-41
1897,1.0,2012-2013,19650814-0115,260.0,I-42
1897,1.0,2012-2013,19750322-0237,140.0,I-42
1897,1.0,2012-2013,19911222-0246,120.0,I-42
1897,1.0,2012-2013,19920218-0266,140.0,I-42
1897,1.0,2012-2013,19920618-0375,120.0,I-42
1815,3.0,2012-2013,19660422-0098,260.0,I-43
1815,3.0,2012-2013,19761124-0173,120.0,I-43
1815,3.0,2012-2013,19910505-0351,140.0,I-43
1815,3.0,2012-2013,19910505-0351,140.0,I-43
1815,3.0,2012-2013,19931108-0310,140.0,I-43
1629,3.0,2012-2013,19590109-0003,240.0,I-44
1629,3.0,2012-2013,19790903-0229,100.0,I-44
1629,3.0,2012-2013,19921130-0317,120.0,I-44
1620,3.0,2012-2013,19560807-0056,260.0,I-45
1620,3.0,2012-2013,19750425-0232,120.0,I-45
1620,3.0,2012-2013,19920316-0381,100.0,I-45
1620,3.0,2012-2013,19910227-0301,120.0,I-45
1620,3.0,2012-2013,19901221-0339,140.0,I-45
1600,1.0,2012-2013,19570730-0081,280.0,I-46
1600,1.0,2012-2013,19791225-0178,140.0,I-46
1600,1.0,2012-2013,19910819-0292,120.0,I-46
1600,1.0,2012-2013,19911008-0241,100.0,I-46
1569,2.0,2012-2013,19631024-0087,280.0,I-47
1569,2.0,2012-2013,19770502-0170,140.0,I-47
1569,2.0,2012-2013,19900521-0298,100.0,I-47
1569,2.0,2012-2013,19901221-0339,120.0,I-47
1417,1.0,2012-2013,19610502-0010,280.0,I-48
1417,1.0,2012-2013,19790106-0160,100.0,I-48
1417,1.0,2012-2013,19920218-0266,140.0,I-48
1417,1.0,2012-2013,19920430-0253,100.0,I-48
1417,1.0,2012-2013,19920309-0349,120.0,I-48
1377,3.0,2012-2013,19680210-0129,260.0,I-49
1377,3.0,2012-2013,19761126-0183,100.0,I-49
1377,3.0,2012-2013,19910519-0362,100.0,I-49
1377,3.0,2012-2013,19920127-0376,140.0,I-49
1377,3.0,2012-2013,19920127-0376,140.0,I-49
1359,3.0,2012-2013,19550512-0123,280.0,I-50
1359,3.0,2012-2013,19750813-0225,100.0,I-50
1359,3.0,2012-2013,19910505-0351,140.0,I-50
1294,3.0,2012-2013,19550828-0055,280.0,I-51
1294,3.0,2012-2013,19791225-0178,140.0,I-51
1294,3.0,2012-2013,19930409-0309,120.0,I-51
1018,2.0,2012-2013,19640919-0143,280.0,I-52
1018,2.0,2012-2013,19770913-0179,140.0,I-52
1018,2.0,2012-2013,19910303-0245,100.0,I-52
1018,2.0,2012-2013,19920309-0349,140.0,I-52
1010,1.0,2012-2013,19550419-0012,280.0,I-53
1010,1.0,2012-2013,19750309-0236,100.0,I-53
1010,1.0,2012-2013,19930409-0309,100.0,I-53
1007,4.0,2012-2013,19560123-0039,240.0,I-54
1007,4.0,2012-2013,19771213-0157,140.0,I-54
1007,4.0,2012-2013,19910803-0281,140.0,I-54
1007,4.0,2012-2013,19911021-0244,100.0,I-54
1007,4.0,2012-2013,19930218-0271,140.0,I-54
1003,3.0,2012-2013,19680313-0150,240.0,I-55
1003,3.0,2012-2013,19790510-0202,140.0,I-55
1003,3.0,2012-2013,19931222-0324,140.0,I-55
1003,3.0,2012-2013,19930528-0342,120.0,I-55
1003,3.0,2012-2013,19921020-0378,100.0,I-55
1160,4.0,2013-2014,19580526-0034,240.0,I-56
1160,4.0,2013-2014,19780829-0224,120.0,I-56
1160,4.0,2013-2014,19911222-0246,140.0,I-56
1160,4.0,2013-2014,19931216-0360,120.0,I-56
1160,4.0,2013-2014,19910430-0390,100.0,I-56
1811,3.0,2013-2014,19560807-0056,280.0,I-57
1811,3.0,2013-2014,19790714-0158,120.0,I-57
1811,3.0,2013-2014,19911016-0297,140.0,I-57
1084,4.0,2013-2014,19560823-0146,260.0,I-58
1084,4.0,2013-2014,19790106-0160,100.0,I-58
1084,4.0,2013-2014,19910113-0338,120.0,I-58
1084,4.0,2013-2014,19930727-0258,120.0,I-58
1066,1.0,2013-2014,19600422-0103,240.0,I-59
1066,1.0,2013-2014,19750322-0237,120.0,I-59
1066,1.0,2013-2014,19921225-0352,120.0,I-59
1066,1.0,2013-2014,19920421-0387,140.0,I-59
1915,4.0,2013-2014,19630523-0038,240.0,I-60
1915,4.0,2013-2014,19771213-0157,120.0,I-60
1915,4.0,2013-2014,19930811-0347,140.0,I-60
1915,4.0,2013-2014,19930130-0359,140.0,I-60
1886,4.0,2013-2014,19650109-0128,280.0,I-61
1886,4.0,2013-2014,19760424-0220,140.0,I-61
1886,4.0,2013-2014,19900705-0286,140.0,I-61
1886,4.0,2013-2014,19930509-0345,140.0,I-61
1886,4.0,2013-2014,19931020-0257,140.0,I-61
1883,1.0,2013-2014,19550305-0094,240.0,I-62
1883,1.0,2013-2014,19750319-0156,140.0,I-62
1883,1.0,2013-2014,19921013-0274,140.0,I-62
1883,1.0,2013-2014,19920408-0343,100.0,I-62
1870,2.0,2013-2014,19660308-0145,260.0,I-63
1870,2.0,2013-2014,19781121-0159,100.0,I-63
1870,2.0,2013-2014,19920723-0242,140.0,I-63
1685,1.0,2013-2014,19600415-0028,240.0,I-64
1685,1.0,2013-2014,19750220-0169,100.0,I-64
1685,1.0,2013-2014,19911021-0244,120.0,I-64
1566,3.0,2013-2014,19550419-0012,280.0,I-65
1566,3.0,2013-2014,19750630-0161,120.0,I-65
1566,3.0,2013-2014,19920715-0337,140.0,I-65
1445,4.0,2013-2014,19650814-0090,260.0,I-66
1445,4.0,2013-2014,19790526-0219,100.0,I-66
1445,4.0,2013-2014,19900521-0298,140.0,I-66
1317,1.0,2013-2014,19570408-0107,260.0,I-67
1317,1.0,2013-2014,19790714-0158,120.0,I-67
1317,1.0,2013-2014,19900223-0251,140.0,I-67
1318,3.0,2013-2014,19691216-0147,260.0,I-68
1318,3.0,2013-2014,19750702-0234,140.0,I-68
1318,3.0,2013-2014,19910213-0264,120.0,I-68
1313,4.0,2013-2014,19690906-0102,280.0,I-69
1313,4.0,2013-2014,19790318-0172,140.0,I-69
1313,4.0,2013-2014,19920727-0356,100.0,I-69
1313,4.0,2013-2014,19910730-0248,140.0,I-69
1230,2.0,2013-2014,19560123-0039,260.0,I-70
1230,2.0,2013-2014,19790526-0219,120.0,I-70
1230,2.0,2013-2014,19910430-0390,120.0,I-70
1230,2.0,2013-2014,19930501-0333,100.0,I-70
1230,2.0,2013-2014,19931209-0335,120.0,I-70
1226,4.0,2013-2014,19570327-0091,240.0,I-71
1226,4.0,2013-2014,19761215-0239,100.0,I-71
1226,4.0,2013-2014,19920715-0325,120.0,I-71
1226,4.0,2013-2014,19930820-0313,140.0,I-71
1226,4.0,2013-2014,19900830-0305,140.0,I-71
1203,1.0,2013-2014,19560228-0121,280.0,I-72
1203,1.0,2013-2014,19750701-0238,100.0,I-72
1203,1.0,2013-2014,19931108-0310,120.0,I-72
1203,1.0,2013-2014,19930329-0367,120.0,I-72
1201,4.0,2013-2014,19671219-0097,280.0,I-73
1201,4.0,2013-2014,19790618-0163,120.0,I-73
1201,4.0,2013-2014,19911030-0363,120.0,I-73
1725,1.0,2014-2015,19561223-0046,260.0,I-74
1725,1.0,2014-2015,19790318-0172,100.0,I-74
1725,1.0,2014-2015,19901226-0294,100.0,I-74
1725,1.0,2014-2015,19930329-0367,100.0,I-74
1725,1.0,2014-2015,19921121-0307,120.0,I-74
1481,2.0,2014-2015,19580526-0034,260.0,I-75
1481,2.0,2014-2015,19750730-0223,100.0,I-75
1481,2.0,2014-2015,19911106-0344,100.0,I-75
1481,2.0,2014-2015,19931209-0335,100.0,I-75
1973,2.0,2014-2015,19680624-0027,240.0,I-76
1973,2.0,2014-2015,19751128-0211,120.0,I-76
1973,2.0,2014-2015,19910413-0350,100.0,I-76
1973,2.0,2014-2015,19910408-0250,100.0,I-76
1973,2.0,2014-2015,19911030-0363,120.0,I-76
1911,3.0,2014-2015,19650421-0108,240.0,I-77
1911,3.0,2014-2015,19761107-0217,120.0,I-77
1911,3.0,2014-2015,19911030-0363,100.0,I-77
1911,3.0,2014-2015,19910412-0243,120.0,I-77
1911,3.0,2014-2015,19930406-0371,140.0,I-77
1675,2.0,2014-2015,19640407-0101,280.0,I-78
1675,2.0,2014-2015,19791210-0189,120.0,I-78
1675,2.0,2014-2015,19911021-0244,100.0,I-78
1675,2.0,2014-2015,19920727-0356,100.0,I-78
1675,2.0,2014-2015,19911026-0348,100.0,I-78
1336,3.0,2014-2015,19641017-0004,260.0,I-79
1336,3.0,2014-2015,19780103-0216,100.0,I-79
1336,3.0,2014-2015,19931209-0335,100.0,I-79
1741,4.0,2014-2015,19631213-0144,260.0,I-80
1741,4.0,2014-2015,19760210-0205,140.0,I-80
1741,4.0,2014-2015,19920427-0252,100.0,I-80
1741,4.0,2014-2015,19930406-0371,100.0,I-80
1741,4.0,2014-2015,19920316-0381,100.0,I-80
1723,1.0,2014-2015,19671119-0137,240.0,I-81
1723,1.0,2014-2015,19760404-0180,120.0,I-81
1723,1.0,2014-2015,19900506-0329,100.0,I-81
1633,1.0,2014-2015,19681130-0059,280.0,I-82
1633,1.0,2014-2015,19760902-0214,100.0,I-82
1633,1.0,2014-2015,19911026-0348,120.0,I-82
1633,1.0,2014-2015,19921024-0306,120.0,I-82
1633,1.0,2014-2015,19931222-0324,120.0,I-82
1605,2.0,2014-2015,19580607-0011,280.0,I-83
1605,2.0,2014-2015,19770619-0167,140.0,I-83
1605,2.0,2014-2015,19901026-0369,100.0,I-83
1605,2.0,2014-2015,19900223-0251,120.0,I-83
1411,3.0,2014-2015,19580816-0057,240.0,I-84
1411,3.0,2014-2015,19750319-0156,120.0,I-84
1411,3.0,2014-2015,19920902-0296,120.0,I-84
1407,1.0,2014-2015,19630705-0111,280.0,I-85
1407,1.0,2014-2015,19770905-0199,120.0,I-85
1407,1.0,2014-2015,19920921-0268,120.0,I-85
1407,1.0,2014-2015,19900830-0305,120.0,I-85
1294,3.0,2014-2015,19600315-0045,280.0,I-86
1294,3.0,2014-2015,19790129-0233,100.0,I-86
1294,3.0,2014-2015,19900705-0286,100.0,I-86
1294,3.0,2014-2015,19911016-0297,100.0,I-86
1257,3.0,2014-2015,19680813-0126,260.0,I-87
1257,3.0,2014-2015,19790318-0172,100.0,I-87
1257,3.0,2014-2015,19920310-0256,140.0,I-87
1193,3.0,2014-2015,19680624-0027,280.0,I-88
1193,3.0,2014-2015,19780210-0154,140.0,I-88
1193,3.0,2014-2015,19901109-0288,120.0,I-88
1737,2.0,2015-2016,19590905-0037,240.0,I-89
1737,2.0,2015-2016,19780326-0162,120.0,I-89
1737,2.0,2015-2016,19930607-0308,100.0,I-89
1737,2.0,2015-2016,19930329-0367,100.0,I-89
1970,3.0,2015-2016,19591120-0053,280.0,I-90
1970,3.0,2015-2016,19781125-0171,120.0,I-90
1970,3.0,2015-2016,19910213-0264,100.0,I-90
1970,3.0,2015-2016,19920430-0253,100.0,I-90
1843,3.0,2015-2016,19591012-0095,280.0,I-91
1843,3.0,2015-2016,19771213-0157,140.0,I-91
1843,3.0,2015-2016,19910702-0389,120.0,I-91
1843,3.0,2015-2016,19910519-0362,100.0,I-91
1843,3.0,2015-2016,19910505-0351,120.0,I-91
1300,4.0,2015-2016,19561109-0064,260.0,I-92
1300,4.0,2015-2016,19750615-0231,120.0,I-92
1300,4.0,2015-2016,19921020-0378,100.0,I-92
1300,4.0,2015-2016,19931108-0310,100.0,I-92
1262,2.0,2015-2016,19590728-0025,260.0,I-93
1262,2.0,2015-2016,19761107-0217,140.0,I-93
1262,2.0,2015-2016,19920101-0355,140.0,I-93
1262,2.0,2015-2016,19901109-0288,140.0,I-93
1248,1.0,2015-2016,19651010-0130,240.0,I-94
1248,1.0,2015-2016,19790711-0182,120.0,I-94
1248,1.0,2015-2016,19910303-0245,140.0,I-94
1248,1.0,2015-2016,19911026-0348,100.0,I-94
1248,1.0,2015-2016,19931011-0322,120.0,I-94
1958,2.0,2015-2016,19680307-0062,240.0,I-95
1958,2.0,2015-2016,19790903-0229,100.0,I-95
1958,2.0,2015-2016,19910213-0264,120.0,I-95
1915,2.0,2015-2016,19580621-0026,260.0,I-96
1915,2.0,2015-2016,19770721-0174,100.0,I-96
1915,2.0,2015-2016,19920815-0382,120.0,I-96
1876,3.0,2015-2016,19660217-0133,260.0,I-97
1876,3.0,2015-2016,19790227-0208,100.0,I-97
1876,3.0,2015-2016,19930820-0313,100.0,I-97
1876,3.0,2015-2016,19920724-0267,140.0,I-97
1876,3.0,2015-2016,19911026-0348,100.0,I-97
1787,4.0,2015-2016,19600924-0083,240.0,I-98
1787,4.0,2015-2016,19760902-0214,120.0,I-98
1787,4.0,2015-2016,19901025-0328,100.0,I-98
1787,4.0,2015-2016,19921114-0377,120.0,I-98
1787,4.0,2015-2016,19900508-0265,140.0,I-98
1775,3.0,2015-2016,19601225-0079,240.0,I-99
1775,3.0,2015-2016,19750702-0234,120.0,I-99
1775,3.0,2015-2016,19930421-0304,120.0,I-99
1734,4.0,2015-2016,19581118-0029,240.0,I-100
1734,4.0,2015-2016,19750518-0196,100.0,I-100
1734,4.0,2015-2016,19931209-0335,140.0,I-100
1734,4.0,2015-2016,19921024-0306,140.0,I-100
1618,3.0,2015-2016,19681130-0059,280.0,I-101
1618,3.0,2015-2016,19780210-0154,140.0,I-101
1618,3.0,2015-2016,19931222-0324,100.0,I-101
1615,2.0,2015-2016,19631024-0087,280.0,I-102
1615,2.0,2015-2016,19770421-0176,140.0,I-102
1615,2.0,2015-2016,19910113-0338,120.0,I-102
1516,1.0,2015-2016,19561112-0009,260.0,I-103
1516,1.0,2015-2016,19760424-0220,120.0,I-103
1516,1.0,2015-2016,19921121-0307,100.0,I-103
1516,1.0,2015-2016,19900803-0270,100.0,I-103
1508,4.0,2015-2016,19680313-0150,280.0,I-104
1508,4.0,2015-2016,19770212-0168,140.0,I-104
1508,4.0,2015-2016,19930130-0359,140.0,I-104
1508,4.0,2015-2016,19931205-0373,140.0,I-104
1508,4.0,2015-2016,19931209-0335,120.0,I-104
1472,3.0,2015-2016,19580816-0057,260.0,I-105
1472,3.0,2015-2016,19750702-0234,140.0,I-105
1472,3.0,2015-2016,19910111-0323,120.0,I-105
1389,3.0,2015-2016,19630426-0135,280.0,I-106
1389,3.0,2015-2016,19760323-0201,120.0,I-106
1389,3.0,2015-2016,19910721-0295,120.0,I-106
1341,3.0,2015-2016,19600415-0028,260.0,I-107
1341,3.0,2015-2016,19780725-0206,120.0,I-107
1341,3.0,2015-2016,19930904-0283,140.0,I-107
1341,3.0,2015-2016,19920403-0319,120.0,I-107
1341,3.0,2015-2016,19931124-0353,100.0,I-107
1214,1.0,2015-2016,19640301-0074,260.0,I-108
1214,1.0,2015-2016,19750426-0230,100.0,I-108
1214,1.0,2015-2016,19921013-0372,140.0,I-108
1060,2.0,2015-2016,19620411-0069,240.0,I-109
1060,2.0,2015-2016,19770310-0188,140.0,I-109
1060,2.0,2015-2016,19920815-0382,120.0,I-109
1060,2.0,2015-2016,19930124-0273,120.0,I-109
1790,2.0,2016-2017,19630523-0038,260.0,I-110
1790,2.0,2016-2017,19750730-0223,140.0,I-110
1790,2.0,2016-2017,19920902-0296,100.0,I-110
1790,2.0,2016-2017,19910519-0362,120.0,I-110
1584,2.0,2016-2017,19580922-0131,260.0,I-111
1584,2.0,2016-2017,19760210-0205,100.0,I-111
1584,2.0,2016-2017,19930421-0304,140.0,I-111
1584,2.0,2016-2017,19901109-0288,100.0,I-111
1503,1.0,2016-2017,19640301-0074,260.0,I-112
1503,1.0,2016-2017,19760404-0180,120.0,I-112
1503,1.0,2016-2017,19910721-0295,140.0,I-112
1503,1.0,2016-2017,19900924-0280,140.0,I-112
1503,1.0,2016-2017,19911223-0300,100.0,I-112
1438,2.0,2016-2017,19570412-0099,260.0,I-113
1438,2.0,2016-2017,19780713-0192,100.0,I-113
1438,2.0,2016-2017,19900223-0251,120.0,I-113
1438,2.0,2016-2017,19931205-0373,100.0,I-113
1992,1.0,2016-2017,19640910-0136,240.0,I-114
1992,1.0,2016-2017,19751128-0211,140.0,I-114
1992,1.0,2016-2017,19930505-0314,120.0,I-114
1992,1.0,2016-2017,19930509-0345,120.0,I-114
1992,1.0,2016-2017,19901026-0369,100.0,I-114
1946,3.0,2016-2017,19580318-0148,280.0,I-115
1946,3.0,2016-2017,19770310-0188,100.0,I-115
1946,3.0,2016-2017,19921013-0372,120.0,I-115
1774,4.0,2016-2017,19660422-0098,280.0,I-116
1774,4.0,2016-2017,19770905-0199,100.0,I-116
1774,4.0,2016-2017,19910113-0338,120.0,I-116
1774,4.0,2016-2017,19910609-0354,120.0,I-116
1774,4.0,2016-2017,19921230-0327,100.0,I-116
1666,4.0,2016-2017,19660326-0138,240.0,I-117
1666,4.0,2016-2017,19751014-0191,100.0,I-117
1666,4.0,2016-2017,19930501-0333,120.0,I-117
1666,4.0,2016-2017,19930719-0259,100.0,I-117
1666,4.0,2016-2017,19920902-0296,140.0,I-117
1632,3.0,2016-2017,19570315-0106,280.0,I-118
1632,3.0,2016-2017,19750130-0240,120.0,I-118
1632,3.0,2016-2017,19930131-0334,140.0,I-118
1558,3.0,2016-2017,19680307-0062,240.0,I-119
1558,3.0,2016-2017,19790129-0233,120.0,I-119
1558,3.0,2016-2017,19920803-0357,140.0,I-119
1558,3.0,2016-2017,19900705-0286,120.0,I-119
1558,3.0,2016-2017,19930501-0333,120.0,I-119
1552,2.0,2016-2017,19690729-0051,280.0,I-120
1552,2.0,2016-2017,19770212-0168,140.0,I-120
1552,2.0,2016-2017,19900830-0305,120.0,I-120
1511,2.0,2016-2017,19561112-0009,280.0,I-121
1511,2.0,2016-2017,19770913-0179,140.0,I-121
1511,2.0,2016-2017,19931020-0257,120.0,I-121
1511,2.0,2016-2017,19900515-0374,140.0,I-121
1493,1.0,2016-2017,19591024-0134,280.0,I-122
1493,1.0,2016-2017,19771011-0195,100.0,I-122
1493,1.0,2016-2017,19901114-0331,100.0,I-122
1493,1.0,2016-2017,19920921-0268,100.0,I-122
1493,1.0,2016-2017,19930906-0361,140.0,I-122
1481,4.0,2016-2017,19681204-0018,240.0,I-123
1481,4.0,2016-2017,19780210-0175,140.0,I-123
1481,4.0,2016-2017,19911016-0297,140.0,I-123
1481,4.0,2016-2017,19900506-0329,140.0,I-123
1481,4.0,2016-2017,19910608-0275,120.0,I-123
1470,1.0,2016-2017,19680216-0088,240.0,I-124
1470,1.0,2016-2017,19790813-0198,120.0,I-124
